GeoFips,GeoName,2014,2015,2016,2017,2018,2019
0,United States,17527258,18238301,18745075,19542980,20611861,21433226
1000,Alabama,195037.7,200197.5,204454.7,210895.7,221030.7,228142.6
2000,Alaska,55750.6,50728.1,49755.6,51737,54292.9,54385.6
4000,Arizona,284851.4,298615,313056.5,330146.6,350718.3,370119.1
5000,Arkansas,116151.8,117734.3,119191.8,122978.5,127761.3,130954.1
6000,California,2399077.7,2559643.2,2671100.5,2831038.4,2975083,3132800.6
8000,Colorado,305690.9,317992.4,327757.3,348175.5,372452.9,392986
9000,Connecticut,248778.9,262372.7,266747.3,272569.9,279782.3,287822.2
10000,Delaware,67549.8,71547.8,69284.2,69899.4,74186.7,77082.4
11000,District of Columbia,119722.8,124853.7,129477.1,132853.6,138773.5,143389.3
12000,Florida,840386.4,897754.7,941561.2,990096.6,1050298.4,1106500.1
13000,Georgia,485282.5,515753,541292.2,568398.9,602023.9,625713.6
15000,Hawaii,77819.3,82644,85899.9,89618.6,93100.5,95744.3
16000,Idaho,63799.4,66082,69075.5,73286.5,79090.8,83665.5
17000,Illinois,766120.8,795326.1,803943.7,823776.2,863039.5,885583
18000,Indiana,325008.3,329527.7,337217.2,350436.3,368424.5,379684.1
19000,Iowa,172121.9,179459.2,179939.8,182151.3,190147,194658.1
20000,Kansas,148942.7,154015.6,159232.8,163968.3,171718.8,176493.1
21000,Kentucky,186419,192819.3,195840.2,200345.5,207849.4,215398.9
22000,Louisiana,237717.1,231751.8,223409.5,235712.2,253236.1,256918.5
23000,Maine,55826.7,57559.8,59754.2,61671.5,64557,67717.1
24000,Maryland,353248.7,370768.3,387620.2,399737.6,411619.1,426747.4
25000,Massachusetts,473052,503178.5,519143.5,539973.4,570464.2,596593.1
26000,Michigan,448572.1,473149.5,488962.6,501914.9,521803.4,536888.3
27000,Minnesota,322690.2,333065.8,341696.3,353416.4,371929.7,383777
28000,Mississippi,103519.8,105427.9,106492.9,109431.1,113578.5,115971.3
29000,Missouri,284237.2,293938.3,297752.6,305471.4,317949.1,328400.6
30000,Montana,44608.4,46269.3,45680.3,47946.9,50692.3,52934.6
31000,Nebraska,111386.8,115663.9,116879.2,120949.7,124705.4,130011.8
32000,Nevada,134518.4,143554,150287.3,158502.8,169179.6,178199.4
33000,New Hampshire,72304.4,75832,78509,80838.4,84584.1,87634.1
34000,New Jersey,545465.3,569116.5,581504.4,590696.6,612979.3,634783.6
35000,New Mexico,92586.3,91322,91240.2,94456.7,100079.9,105143.4
36000,New York,1425724.1,1485620.8,1545987.7,1608890.2,1705010.2,1772260.7
37000,North Carolina,476260.2,502808.4,520356.6,541040.7,567451.7,591600.9
38000,North Dakota,58679.9,55069.1,50792.3,52607.1,56286.8,57180.9
39000,Ohio,592876.2,609321.7,621542.6,642351.4,675029.7,695361.6
40000,Oklahoma,193546.4,184140.4,177813,185485.6,198595.8,202036.1
41000,Oregon,188777.5,202718.6,214617.5,227042.2,241978.1,253623.2
42000,Pennsylvania,691173.2,711787.2,726884.5,745140.8,778374.6,808737.5
44000,Rhode Island,54297.7,56560.7,57529.4,58117.2,59924.6,61883.8
45000,South Carolina,191981.5,204000.4,213584.6,223414,235286.9,247543.8
46000,South Dakota,46369.9,47630.5,48731.3,50342.9,53239,54940.9
47000,Tennessee,303788.8,323658.5,334435.7,346283,362737.1,376582.4
48000,Texas,1568070.8,1564374.3,1567687.1,1665428,1795635.1,1843802.7
49000,Utah,141528,148917.8,157442.7,167613.4,181622.7,192519.2
50000,Vermont,29690.7,30663.7,31430.4,32040.7,32981,34013.4
51000,Virginia,464514.4,484530.8,496570.2,511876.3,533510.4,556905.2
53000,Washington,442930,471702.8,493634.5,527707.5,575416.7,612996.5
54000,West Virginia,71769.1,70815.9,70006.2,72853.1,77632.5,78863.9
55000,Wisconsin,293836.7,306498.9,313440.2,320610,337553.1,349416.5
56000,Wyoming,39431.7,37860.7,35704,37271.2,39703.2,40420.1
91000,New England,933950.4,986167.4,1013113.8,1045211.2,1092293.2,1135663.7
92000,Mideast,3202883.9,3333694.3,3440758.1,3547218.2,3720943.4,3863001
93000,Great Lakes,2426414,2513823.8,2565106.2,2639088.9,2765850.2,2846933.4
94000,Plains,1144428.7,1178842.4,1195024.3,1228907.2,1285975.7,1325462.4
95000,Southeast,3672828.3,3847252.4,3967195.8,4133325.6,4352396.9,4531095.2
96000,Southwest,2139054.8,2138451.7,2149796.8,2275516.9,2445029.1,2521101.2
97000,Rocky Mountain,595058.4,617122.2,635659.9,674293.4,723561.8,762525.5
98000,Far West,3298873.5,3510990.7,3665295.2,3885646.5,4109050.7,4327749.6
Legend / Footnotes:,,,,,,,
"Last updated: October 2, 2020-- revised statistics for 1997-2019.",,,,,,,
