"SAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Population (Number of persons) 1/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2014","2015","2016","2017","2018","2019"
"00000","United States",318301008,320635163,322941311,324985539,326687501,328239523
"01000","Alabama",4841799,4852347,4863525,4874486,4887681,4903185
"02000","Alaska *",736283,737498,741456,739700,735139,731545
"04000","Arizona",6730413,6829676,6941072,7044008,7158024,7278717
"05000","Arkansas",2967392,2978048,2989918,3001345,3009733,3017804
"06000","California",38596972,38918045,39167117,39358497,39461588,39512223
"08000","Colorado",5350101,5450623,5539215,5611885,5691287,5758736
"09000","Connecticut",3594524,3587122,3578141,3573297,3571520,3565287
"10000","Delaware",932487,941252,948921,956823,965479,973764
"11000","District of Columbia",662328,675400,685815,694906,701547,705749
"12000","Florida",19845911,20209042,20613477,20963613,21244317,21477737
"13000","Georgia",10067278,10178447,10301890,10410330,10511131,10617423
"15000","Hawaii *",1414538,1422052,1427559,1424393,1420593,1415872
"16000","Idaho",1631112,1651059,1682380,1717715,1750536,1787065
"17000","Illinois",12884493,12858913,12820527,12778828,12723071,12671821
"18000","Indiana",6593644,6608422,6634304,6658078,6695497,6732219
"19000","Iowa",3109350,3120960,3131371,3141550,3148618,3155070
"20000","Kansas",2900475,2909011,2910844,2908718,2911359,2913314
"21000","Kentucky",4414349,4425976,4438182,4452268,4461153,4467673
"22000","Louisiana",4644013,4664628,4678135,4670560,4659690,4648794
"23000","Maine",1330513,1328262,1331317,1334612,1339057,1344212
"24000","Maryland",5957283,5985562,6003323,6023868,6035802,6045680
"25000","Massachusetts",6762596,6794228,6823608,6859789,6882635,6892503
"26000","Michigan",9929848,9931715,9950571,9973114,9984072,9986857
"27000","Minnesota",5451079,5482032,5522744,5566230,5606249,5639632
"28000","Mississippi",2990468,2988471,2987938,2988510,2981020,2976149
"29000","Missouri",6056202,6071732,6087135,6106670,6121623,6137428
"30000","Montana",1021869,1030475,1040859,1052482,1060665,1068778
"31000","Nebraska",1879321,1891277,1905616,1915947,1925614,1934408
"32000","Nevada",2817628,2866939,2917563,2969905,3027341,3080156
"33000","New Hampshire",1333341,1336350,1342307,1348787,1353465,1359711
"34000","New Jersey",8864525,8867949,8870827,8885525,8886025,8882190
"35000","New Mexico",2089568,2089291,2091630,2091784,2092741,2096829
"36000","New York",19651049,19654666,19633428,19589572,19530351,19453561
"37000","North Carolina",9932887,10031646,10154788,10268233,10381615,10488084
"38000","North Dakota",737401,754066,754434,754942,758080,762062
"39000","Ohio",11602700,11617527,11634370,11659650,11676341,11689100
"40000","Oklahoma",3878187,3909500,3926331,3931316,3940235,3956971
"41000","Oregon",3963244,4015792,4089976,4143625,4181886,4217737
"42000","Pennsylvania",12788313,12784826,12782275,12787641,12800922,12801989
"44000","Rhode Island",1055936,1056065,1056770,1055673,1058287,1059361
"45000","South Carolina",4823617,4891938,4957968,5021268,5084156,5148714
"46000","South Dakota",849129,853988,862996,872868,878698,884659
"47000","Tennessee",6541223,6591170,6646010,6708799,6771631,6829174
"48000","Texas",26964333,27470056,27914410,28295273,28628666,28995881
"49000","Utah",2936879,2981835,3041868,3101042,3153550,3205958
"50000","Vermont",625214,625216,623657,624344,624358,623989
"51000","Virginia",8310993,8361808,8410106,8463587,8501286,8535519
"53000","Washington",7054655,7163657,7294771,7423362,7523869,7614893
"54000","West Virginia",1849489,1842050,1831023,1817004,1804291,1792147
"55000","Wisconsin",5751525,5760940,5772628,5790186,5807406,5822434
"56000","Wyoming",582531,585613,584215,578931,577601,578759
"91000","New England",14702124,14727243,14755800,14796502,14829322,14845063
"92000","Mideast",48855985,48909655,48924589,48938335,48920126,48862933
"93000","Great Lakes",46762210,46777517,46812400,46859856,46886387,46902431
"94000","Plains",20982957,21083066,21175140,21266925,21350241,21426573
"95000","Southeast",81229419,82015571,82872960,83640003,84297704,84902403
"96000","Southwest",39662501,40298523,40873443,41362381,41819666,42328398
"97000","Rocky Mountain",11522492,11699605,11888537,12062055,12233639,12399296
"98000","Far West",54583320,55123983,55638442,56059482,56350416,56572426
"Legend / Footnotes:"
"1/ Census Bureau midyear population estimate. Estimates for 2010-2019 reflect Census Bureau midyear state population estimates available as of December 2019."
"* Estimates prior to 1950 are not available for Alaska and Hawaii."
"Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data."
"Last updated: September 24, 2020-- revised statistics for 2013-2019."
