State,Year,Prices,Price per gallon,State Name
AL,2019,18.97,2.2022273,Alabama
AL,2018,20.4,2.3682359999999996,Alabama
AL,2017,18.5,2.147665,Alabama
AL,2016,16.31,1.8934278999999998,Alabama
AL,2015,18.17,2.1093553000000003,Alabama
AK,2019,31.19,3.6208471000000007,Alaska
AK,2018,30.73,3.5674457,Alaska
AK,2017,26.82,3.1135338,Alaska
AK,2016,24.07,2.7942863,Alaska
AK,2015,27.66,3.2110494,Alaska
AZ,2019,25.09,2.9126980999999996,Arizona
AZ,2018,24.72,2.8697448,Arizona
AZ,2017,21.58,2.5052221999999995,Arizona
AZ,2016,19.36,2.2475024,Arizona
AZ,2015,22.25,2.5830024999999996,Arizona
AR,2019,19.19,2.2277671,Arkansas
AR,2018,20.64,2.3960976,Arkansas
AR,2017,18.72,2.1732048,Arkansas
AR,2016,16.5,1.915485,Arkansas
AR,2015,18.38,2.1337342,Arkansas
CA,2019,29.1,3.378219,California
CA,2018,28.09,3.2609681,California
CA,2017,24.37,2.8291133000000004,California
CA,2016,22.01,2.5551409,California
CA,2015,25.47,2.9568122999999997,California
CO,2019,21.62,2.5098658,Colorado
CO,2018,22.33,2.5922897,Colorado
CO,2017,19.74,2.2916166,Colorado
CO,2016,17.39,2.0188051000000002,Colorado
CO,2015,19.57,2.2718813,Colorado
CT,2019,21.94,2.5470146,Connecticut
CT,2018,23.42,2.7188278,Connecticut
CT,2017,20.99,2.4367290999999995,Connecticut
CT,2016,18.68,2.1685612,Connecticut
CT,2015,20.76,2.4100284000000003,Connecticut
DE,2019,21.61,2.5087048999999997,Delaware
DE,2018,22.91,2.6596219,Delaware
DE,2017,20.92,2.4286028,Delaware
DE,2016,18.32,2.1267688000000002,Delaware
DE,2015,20.27,2.3531443000000003,Delaware
FL,2019,19.45,2.2579504999999997,Florida
FL,2018,20.92,2.4286028,Florida
FL,2017,19.23,2.2324107,Florida
FL,2016,17.14,1.9897826000000003,Florida
FL,2015,18.85,2.1882965000000003,Florida
GA,2019,18.82,2.1848138,Georgia
GA,2018,20.2,2.345018,Georgia
GA,2017,18.57,2.1557913,Georgia
GA,2016,16.68,1.9363812,Georgia
GA,2015,18.29,2.1232861,Georgia
HI,2019,31.2,3.622008,Hawaii
HI,2018,30.74,3.5686066,Hawaii
HI,2017,26.83,3.1146947,Hawaii
HI,2016,24.07,2.7942863,Hawaii
HI,2015,27.67,3.2122103,Hawaii
ID,2019,23.1,2.6816790000000004,Idaho
ID,2018,24.2,2.8093779999999997,Idaho
ID,2017,21.09,2.4483381,Idaho
ID,2016,18.67,2.1674003,Idaho
ID,2015,20.93,2.4297637,Idaho
IL,2019,20.7,2.403063,Illinois
IL,2018,21.72,2.5214748,Illinois
IL,2017,19.59,2.2742031000000003,Illinois
IL,2016,17.45,2.0257705,Illinois
IL,2015,19.62,2.2776858000000004,Illinois
IN,2019,20.0,2.3218,Indiana
IN,2018,20.98,2.4355682,Indiana
IN,2017,18.93,2.1975837,Indiana
IN,2016,16.86,1.9572773999999997,Indiana
IN,2015,18.96,2.2010664,Indiana
IA,2019,20.34,2.3612705999999997,Iowa
IA,2018,21.34,2.4773606,Iowa
IA,2017,19.25,2.2347325000000002,Iowa
IA,2016,17.15,1.9909435,Iowa
IA,2015,19.28,2.2382152000000004,Iowa
KS,2019,20.2,2.345018,Kansas
KS,2018,21.2,2.461108,Kansas
KS,2017,19.12,2.2196408,Kansas
KS,2016,17.03,1.9770127000000002,Kansas
KS,2015,19.15,2.2231235,Kansas
KY,2019,20.68,2.4007411999999997,Kentucky
KY,2018,21.7,2.5191529999999998,Kentucky
KY,2017,19.57,2.2718813,Kentucky
KY,2016,17.43,2.0234487,Kentucky
KY,2015,19.61,2.2765249,Kentucky
LA,2019,19.07,2.2138362999999996,Louisiana
LA,2018,20.51,2.3810059000000003,Louisiana
LA,2017,18.6,2.1592740000000004,Louisiana
LA,2016,16.39,1.9027151,Louisiana
LA,2015,18.27,2.1209643,Louisiana
ME,2019,21.81,2.5319229,Maine
ME,2018,23.28,2.7025752,Maine
ME,2017,20.86,2.4216374,Maine
ME,2016,18.57,2.1557913,Maine
ME,2015,20.64,2.3960976,Maine
MD,2019,21.71,2.5203139,Maryland
MD,2018,23.02,2.6723917999999998,Maryland
MD,2017,21.02,2.4402117999999997,Maryland
MD,2016,18.41,2.1372169000000003,Maryland
MD,2015,20.37,2.3647533,Maryland
MA,2019,21.78,2.5284402000000004,Massachusetts
MA,2018,23.06,2.6770354,Massachusetts
MA,2017,20.51,2.3810059000000003,Massachusetts
MA,2016,18.14,2.1058726,Massachusetts
MA,2015,20.1,2.333409,Massachusetts
MI,2019,20.21,2.3461789,Michigan
MI,2018,21.21,2.4622689,Michigan
MI,2017,19.13,2.2208017,Michigan
MI,2016,17.04,1.9781735999999999,Michigan
MI,2015,19.16,2.2242844,Michigan
MN,2019,20.73,2.4065457,Minnesota
MN,2018,21.92,2.5446928,Minnesota
MN,2017,19.76,2.2939384,Minnesota
MN,2016,17.29,2.0071961,Minnesota
MN,2015,19.83,2.3020647,Minnesota
MS,2019,19.03,2.2091927000000005,Mississippi
MS,2018,20.47,2.3763623,Mississippi
MS,2017,18.56,2.1546304,Mississippi
MS,2016,16.36,1.8992323999999998,Mississippi
MS,2015,18.23,2.1163207,Mississippi
MO,2019,19.74,2.2916166,Missouri
MO,2018,20.71,2.4042239,Missouri
MO,2017,18.68,2.1685612,Missouri
MO,2016,16.64,1.9317376,Missouri
MO,2015,18.71,2.1720439000000002,Missouri
MT,2019,23.0,2.67007,Montana
MT,2018,24.09,2.7966081000000003,Montana
MT,2017,21.0,2.43789,Montana
MT,2016,18.58,2.1569521999999997,Montana
MT,2015,20.84,2.4193156,Montana
NE,2019,20.9,2.426281,Nebraska
NE,2018,21.93,2.5458537,Nebraska
NE,2017,19.78,2.2962602,Nebraska
NE,2016,17.62,2.0455058,Nebraska
NE,2015,19.81,2.2997428999999996,Nebraska
NV,2019,26.12,3.0322708,Nevada
NV,2018,25.74,2.9881565999999995,Nevada
NV,2017,22.46,2.6073814000000004,Nevada
NV,2016,20.16,2.3403744,Nevada
NV,2015,23.16,2.6886444,Nevada
NH,2019,21.18,2.4587862,New Hampshire
NH,2018,22.6,2.623634,New Hampshire
NH,2017,20.25,2.3508225,New Hampshire
NH,2016,18.03,2.0931027,New Hampshire
NH,2015,20.04,2.3264435999999997,New Hampshire
NJ,2019,20.93,2.4297637,New Jersey
NJ,2018,22.19,2.5760371,New Jersey
NJ,2017,20.26,2.3519834000000004,New Jersey
NJ,2016,17.74,2.0594365999999997,New Jersey
NJ,2015,19.63,2.2788467,New Jersey
NM,2019,19.8,2.298582,New Mexico
NM,2018,21.3,2.472717,New Mexico
NM,2017,19.31,2.2416979,New Mexico
NM,2016,17.02,1.9758518,New Mexico
NM,2015,18.97,2.2022273,New Mexico
NY,2019,20.97,2.4344072999999997,New York
NY,2018,22.23,2.5806807,New York
NY,2017,20.12,2.3357308,New York
NY,2016,18.13,2.1047116999999997,New York
NY,2015,20.47,2.3763623,New York
NC,2019,20.28,2.3543052,North Carolina
NC,2018,21.76,2.5261184,North Carolina
NC,2017,20.0,2.3218,North Carolina
NC,2016,17.97,2.0861373,North Carolina
NC,2015,19.7,2.2869729999999997,North Carolina
ND,2019,21.6,2.5075439999999998,North Dakota
ND,2018,22.66,2.6305994,North Dakota
ND,2017,20.44,2.3728796,North Dakota
ND,2016,18.2,2.112838,North Dakota
ND,2015,20.47,2.3763623,North Dakota
OH,2019,20.92,2.4286028,Ohio
OH,2018,21.5,2.4959350000000002,Ohio
OH,2017,19.6,2.275364,Ohio
OH,2016,17.96,2.0849764,Ohio
OH,2015,19.78,2.2962602,Ohio
OK,2019,19.79,2.2974210999999998,Oklahoma
OK,2018,20.76,2.4100284000000003,Oklahoma
OK,2017,18.72,2.1732048,Oklahoma
OK,2016,16.68,1.9363812,Oklahoma
OK,2015,18.76,2.1778484,Oklahoma
OR,2019,26.79,3.1100510999999997,Oregon
OR,2018,26.4,3.0647759999999997,Oregon
OR,2017,23.04,2.6747136,Oregon
OR,2016,20.67,2.3995803,Oregon
OR,2015,23.76,2.7582984,Oregon
PA,2019,22.19,2.5760371,Pennsylvania
PA,2018,23.52,2.7304367999999997,Pennsylvania
PA,2017,21.48,2.4936132,Pennsylvania
PA,2016,18.81,2.1836529,Pennsylvania
PA,2015,20.81,2.4158329,Pennsylvania
RI,2019,21.76,2.5261184,Rhode Island
RI,2018,23.22,2.6956097999999997,Rhode Island
RI,2017,20.81,2.4158329,Rhode Island
RI,2016,18.53,2.1511477,Rhode Island
RI,2015,20.59,2.3902931,Rhode Island
SC,2019,19.08,2.2149971999999996,South Carolina
SC,2018,20.48,2.3775232,South Carolina
SC,2017,18.82,2.1848138,South Carolina
SC,2016,16.91,1.9630819,South Carolina
SC,2015,18.54,2.1523086,South Carolina
SD,2019,21.05,2.4436945,South Dakota
SD,2018,22.08,2.5632672,South Dakota
SD,2017,19.92,2.3125128000000004,South Dakota
SD,2016,17.74,2.0594365999999997,South Dakota
SD,2015,19.95,2.3159955,South Dakota
TN,2019,20.08,2.3310872,Tennessee
TN,2018,21.06,2.4448554,Tennessee
TN,2017,19.0,2.2057100000000003,Tennessee
TN,2016,16.92,1.9642428,Tennessee
TN,2015,19.03,2.2091927000000005,Tennessee
TX,2019,19.07,2.2138362999999996,Texas
TX,2018,20.44,2.3728796,Texas
TX,2017,18.56,2.1546304,Texas
TX,2016,16.3,1.892267,Texas
TX,2015,18.27,2.1209643,Texas
UT,2019,22.99,2.6689091,Utah
UT,2018,24.08,2.7954472,Utah
UT,2017,20.98,2.4355682,Utah
UT,2016,18.57,2.1557913,Utah
UT,2015,20.83,2.4181546999999997,Utah
VT,2019,21.92,2.5446928,Vermont
VT,2018,23.39,2.7153451,Vermont
VT,2017,20.96,2.4332464,Vermont
VT,2016,18.66,2.1662394000000003,Vermont
VT,2015,20.74,2.4077065999999996,Vermont
VA,2019,19.69,2.2858121000000002,Virginia
VA,2018,21.13,2.4529817,Virginia
VA,2017,19.42,2.2544678,Virginia
VA,2016,17.45,2.0257705,Virginia
VA,2015,19.13,2.2208017,Virginia
WA,2019,25.88,3.0044092,Washington
WA,2018,26.54,3.0810286,Washington
WA,2017,23.64,2.7443676,Washington
WA,2016,20.55,2.3856495,Washington
WA,2015,22.35,2.5946115,Washington
WV,2019,21.26,2.4680734,West Virginia
WV,2018,22.81,2.6480129,West Virginia
WV,2017,20.97,2.4344072999999997,West Virginia
WV,2016,18.84,2.1871356,West Virginia
WV,2015,20.65,2.3972584999999995,West Virginia
WI,2019,21.37,2.4808433,Wisconsin
WI,2018,22.42,2.6027378000000003,Wisconsin
WI,2017,20.22,2.3473398,Wisconsin
WI,2016,18.01,2.0907809000000004,Wisconsin
WI,2015,20.25,2.3508225,Wisconsin
WY,2019,21.53,2.4994177000000004,Wyoming
WY,2018,22.56,2.6189903999999995,Wyoming
WY,2017,19.66,2.2823294,Wyoming
WY,2016,17.4,2.019966,Wyoming
WY,2015,19.51,2.2649159,Wyoming
DC,2019,22.73,2.6387257,District of Columbia
DC,2018,24.09,2.7966081000000003,District of Columbia
DC,2017,22.0,2.55398,District of Columbia
DC,2016,19.27,2.2370543,District of Columbia
DC,2015,21.32,2.4750388,District of Columbia
