GeoFips,GeoName,2014,2015,2016,2017,2018,2019
0,United States,14982715,15717140,16151881,16937582,17839255,18542262
1000,Alabama,180457.7,188711.4,192281.9,199999.8,208752.7,216449
2000,Alaska ,41110.4,42505.8,41745.6,42454.4,44369.6,45945.1
4000,Arizona,257410.4,271258,283199.3,300007.5,319226.3,335243.1
5000,Arkansas,113545.5,117671.8,120748.2,125025.7,130397.5,134682.7
6000,California,2021035.6,2172930.2,2273557.5,2383130.5,2514503.4,2632279.8
8000,Colorado,271307.5,284819.6,290669.6,312045.5,335195.8,352184.7
9000,Connecticut,239001.1,245244,250178.6,256348.8,267346.2,275556.8
10000,Delaware,42888.3,45196.4,46341.8,48604.3,51103.1,53055.3
11000,District of Columbia,47259.7,50963.6,53375.8,55051.1,56995.8,58864
12000,Florida,856161.8,914928.4,949718,1016819,1082702.2,1125984
13000,Georgia,400696.1,425498.4,441905.5,467359.4,493575.9,512137.9
15000,Hawaii ,66846.1,70376.2,73048,76109.6,78436.1,80726.5
16000,Idaho,61827.3,65683.4,68248.4,72605,77992.6,82148.4
17000,Illinois,637280,665490.1,672019.9,693273.7,727064.1,744640.7
18000,Indiana,270985.7,281848.5,289731.4,301238.3,316836.5,327712.5
19000,Iowa,139303.3,144493.6,145756.4,149732.3,157980.9,163638.6
20000,Kansas,135975.9,137721.2,137945.1,142185.7,149239,155647.6
21000,Kentucky,165914.7,173495.8,176435.1,182116,188876.8,195548.8
22000,Louisiana,198233.9,200110.3,198952,205188,215308.7,220629.7
23000,Maine,55650,57941.8,59685.4,62145.8,65335.2,68062.4
24000,Maryland,325837,341389.9,354260.6,365997.5,378491.5,390792.5
25000,Massachusetts,405505.9,432237.4,448480.5,469500.7,494177.3,511333.7
26000,Michigan,408617.5,431805.5,444166.8,458247.1,477009.6,491631.8
27000,Minnesota,273960.6,287012.3,293162.5,305921.2,321638.5,331801.9
28000,Mississippi,103310.8,105212.7,106585.1,109189.5,112837.6,115814.2
29000,Missouri,252999.6,262012.6,269771.2,276887.6,288385,298619.8
30000,Montana,42817.5,44956.1,45822.5,48623.3,51117.4,53168
31000,Nebraska,91999,95935.5,94547.5,97032.4,101845.6,105454.2
32000,Nevada,116945.3,127046.8,132315,141515.9,151367.8,157583.7
33000,New Hampshire,70225.1,72874.8,75858.2,79253.4,83199.1,86344.9
34000,New Jersey,520079,542298.8,557461.9,577407.8,602870.1,625937.9
35000,New Mexico,77747.6,80061.7,81626.5,83141.6,87204.6,90846.9
36000,New York,1115351.8,1164400.3,1205507.2,1289263.2,1340903.3,1395147.5
37000,North Carolina,397996,419717.4,434789,455997.1,479791.8,500973.8
38000,North Dakota,41526.2,40540,39104,39812.9,42291.9,43614.4
39000,Ohio,496069.1,515871.4,526177.2,546006,569184,586784
40000,Oklahoma,176621.9,172770.1,164463.4,172169.5,180633.6,187327.5
41000,Oregon,168408.8,181367,190534.2,202051.5,215365.4,224346.4
42000,Pennsylvania,619387.1,644445.8,662352.9,681658.5,717255.3,742924.3
44000,Rhode Island,50863.3,52739.2,53530.2,55574.7,57603.7,59707.2
45000,South Carolina,181483.1,192966.8,201138.8,212034.1,223256.9,233948.4
46000,South Dakota,39872.2,41570.7,42049,43457.3,46248.9,47738.1
47000,Tennessee,266873.5,280955.2,289936,303460.7,319689.7,332472.7
48000,Texas,1248709.9,1278809.8,1278552.1,1369329.5,1463962.2,1531346.5
49000,Utah,113140.9,121954.1,128900.6,136996.8,148240.6,156896.3
50000,Vermont,29886.8,30882.3,31445,32276.9,33422.7,34502.3
51000,Virginia,421873.6,441016.7,452400.5,470835.7,492764.3,509201.3
53000,Washington,363326.7,385904.8,407060.4,433795.8,468055.1,493127.9
54000,West Virginia,66863.6,68269.1,67928.7,70729.9,74321.6,75834.6
55000,Wisconsin,258489.4,269952.1,274764.7,285249.9,299827,309909.3
56000,Wyoming,33035.4,33274.6,31645.7,32723.6,35054.2,35992.7
91000,New England,851132.2,891919.5,919177.8,955100.5,1001084.2,1035507.3
92000,Mideast,2670803,2788694.8,2879300.1,3017982.5,3147619.1,3266721.4
93000,Great Lakes,2071441.6,2164967.5,2206860,2284014.9,2389921.2,2460678.3
94000,Plains,975636.8,1009285.9,1022335.6,1055029.3,1107629.8,1146514.6
95000,Southeast,3353410.1,3528554.1,3632818.8,3818754.9,4022275.8,4173677
96000,Southwest,1760489.9,1802899.6,1807841.2,1924648.1,2051026.8,2144763.9
97000,Rocky Mountain,522128.6,550687.7,565286.7,602994.2,647600.7,680390.1
98000,Far West,2777672.9,2980130.9,3118260.6,3279057.7,3472097.3,3634009.4
Legend / Footnotes:,,,,,,,
* Estimates prior to 1950 are not available for Alaska and Hawaii.,,,,,,,
Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.,,,,,,,
"Last updated: September 24, 2020-- revised statistics for 2013-2019.",,,,,,,
