GeoFips,GeoName,LineCode,Description,2014,2015,2016,2017,2018,2019
0,United States,1,Personal consumption expenditures,11814798.4,12290166.3,12762930.6,13333393.5,13982899,14533254
0,United States,2,  Goods,3855001.8,3915678.3,3991320.6,4165294.4,4361471.7,4500860.9
0,United States,3,    Durable goods,1242075.5,1307605.2,1350222.4,1410678.3,1481551.7,1534351.3
0,United States,4,      Motor vehicles and parts,441992,475346,485553.6,503642.6,523226.5,521845.9
0,United States,5,      Furnishings and durable household equipment,276166.5,294219.7,309367.1,324744.9,343326.3,357440.3
0,United States,6,      Recreational goods and vehicles,329928,336482.1,351429.7,374173.3,399002.7,433364.4
0,United States,7,      Other durable goods,193989,201557.4,203872,208117.4,215996.3,221700.7
0,United States,8,    Nondurable goods,2612926.3,2608073.1,2641098.2,2754616.1,2879919.9,2966509.6
0,United States,9,      Food and beverages purchased for off-premises consumption,896855.4,920955.4,939860.5,970152.7,998796.4,1025661.7
0,United States,10,      Clothing and footwear,360750.6,368734.4,376363.7,379964.6,394236.8,403465.8
0,United States,11,      Gasoline and other energy goods,403343.7,309433.8,275038,308992.7,349237.8,335441.7
0,United States,12,      Other nondurable goods,951976.5,1008949.5,1049835.9,1095506.2,1137648.9,1201940.4
0,United States,13,  Services,7959796.7,8374488,8771610,9168099.1,9621427.3,10032393
0,United States,14,    Household consumption expenditures (for services),7594200.2,8002903.8,8370847.1,8751396.6,9182662.4,9593236.6
0,United States,15,      Housing and utilities,2149905.8,2257891.2,2358451.8,2459513.5,2570215.3,2681180.4
0,United States,16,      Health care,1940547.2,2057323.2,2165095.7,2248280.8,2345008.1,2450839.1
0,United States,17,      Transportation services,383041.7,398671.3,419354.3,440328.2,466687.5,483421.3
0,United States,18,      Recreation services,466594.5,491666.5,518259,538527.7,561805.2,580444.7
0,United States,19,      Food services and accommodations,776933.8,832868.4,873236,913718.2,961222.1,999500.8
0,United States,20,      Financial services and insurance,908093.6,957305.2,983969.3,1052396.5,1119528.6,1176055.2
0,United States,21,      Other services,969083.7,1007178,1052481,1098631.6,1158195.7,1221795
0,United States,22,    Final consumption expenditures of nonprofit institutions serving households (NPISHs),365596.4,371584.3,400762.9,416702.5,438764.9,439156.4
0,United States,23,      Gross output of nonprofit institutions,1322387,1383261.4,1466311,1523363.5,1596937.2,1658090.8
0,United States,24,      Less: Receipts from sales of goods and services by nonprofit institutions,956790.6,1011677.1,1065548.1,1106661,1158172.4,1218934.4
1000,Alabama,1,Personal consumption expenditures,146511.7,150798.4,155347.6,161137.1,167799.1,174016
1000,Alabama,2,  Goods,55821.1,56416.5,56905.8,58854.1,61322,63334.5
1000,Alabama,3,    Durable goods,16609.6,17271.7,17924.2,18661,19541.7,20193.3
1000,Alabama,4,      Motor vehicles and parts,6906.4,7338.8,7481.8,7676,7998.6,8000.8
1000,Alabama,5,      Furnishings and durable household equipment,3449.3,3648,3889.4,4089.3,4313.8,4479.4
1000,Alabama,6,      Recreational goods and vehicles,3879,3854,4120.4,4460.6,4730.7,5158.1
1000,Alabama,7,      Other durable goods,2374.9,2430.9,2432.6,2435.1,2498.7,2555
1000,Alabama,8,    Nondurable goods,39211.4,39144.7,38981.6,40193.1,41780.3,43141.2
1000,Alabama,9,      Food and beverages purchased for off-premises consumption,12207.9,12482.4,12692.8,12943,13408.2,13804.8
1000,Alabama,10,      Clothing and footwear,4595.7,4692.3,4757.3,4755.7,4927.4,5041.9
1000,Alabama,11,      Gasoline and other energy goods,6508.2,4948.2,4355,4841.8,5370.2,5171.3
1000,Alabama,12,      Other nondurable goods,15899.6,17021.8,17176.5,17652.7,18074.4,19123.2
1000,Alabama,13,  Services,90690.7,94382,98441.8,102282.9,106477.1,110681.5
1000,Alabama,14,    Household consumption expenditures (for services),88072.1,91924.9,95644.9,99332.4,103466.1,107845.4
1000,Alabama,15,      Housing and utilities,23755,24529,25749.1,26538.6,27639.1,28577.7
1000,Alabama,16,      Health care,25294.9,26468.7,27480.5,28402,29352.8,30871.8
1000,Alabama,17,      Transportation services,3081.8,3167.6,3336.8,3560.6,3699.4,3829.6
1000,Alabama,18,      Recreation services,5033,5307.2,5626.6,5792.9,6011.4,6199.4
1000,Alabama,19,      Food services and accommodations,9244.3,9955.7,10518.1,11037.8,11522.5,11970
1000,Alabama,20,      Financial services and insurance,12032.7,12509.1,12613.6,13228.3,13912.6,14524.6
1000,Alabama,21,      Other services,9630.3,9987.6,10320.2,10772.1,11328.4,11872.4
1000,Alabama,22,    Final consumption expenditures of nonprofit institutions serving households (NPISHs),2618.6,2457.1,2796.8,2950.6,3011.1,2836.1
1000,Alabama,23,      Gross output of nonprofit institutions,14908.7,15384.5,16075.4,16795.3,17513.8,18287.2
1000,Alabama,24,      Less: Receipts from sales of goods and services by nonprofit institutions,12290.1,12927.5,13278.6,13844.7,14502.7,15451.1
2000,Alaska,1,Personal consumption expenditures,32219.5,33012.4,33685,34856.6,36014.5,37090
2000,Alaska,2,  Goods,9585.8,9476.3,9381.8,9558.7,9814.3,10067.9
