State,Year,    Durable goods,    Nondurable goods,  Services
Alabama,2015,17271.7,39144.7,94382
Alaska,2015,3114.9,6361.5,23536.1
Arizona,2015,26540.4,51186.3,148117.2
Arkansas,2015,10966.1,22222.9,57514.2
California,2015,161063.3,301387.3,1127184
Colorado,2015,23275.5,43256.7,149332.7
Connecticut,2015,15672.1,34849.6,121558.2
Delaware,2015,4526.5,7810.7,26132.6
District of Columbia,2015,2919.6,5889.8,30124.7
Florida,2015,93062.6,164666.1,509077.5
Georgia,2015,38692,79820.7,220158.1
Hawaii,2015,5970.3,11934.3,41357.6
Idaho,2015,7145.6,12032.4,34018
Illinois,2015,51301.8,99249.2,360905.7
Indiana,2015,24326.8,52225.8,147446.9
Iowa,2015,13121.9,25561.4,70892.6
Kansas,2015,11166.8,23222.8,65918.2
Kentucky,2015,15157.9,36341.3,89175.7
Louisiana,2015,18268.8,38084.2,97400.3
Maine,2015,5857.5,13372.8,35228.8
Maryland,2015,25016.6,48572.9,178183.2
Massachusetts,2015,33101.5,62894.9,239474.7
Michigan,2015,38151.5,77685.4,249362.4
Minnesota,2015,26400.1,42596,156871.7
Mississippi,2015,9485.9,22503.5,53525.3
Missouri,2015,23106.4,50504.2,146552.3
Montana,2015,5451.6,8675.5,24472.4
Nebraska,2015,8395.6,15439,46489.4
Nevada,2015,12345.4,23857.5,74789.7
New Hampshire,2015,6260.4,13445.3,43811.1
New Jersey,2015,40916.2,81969.3,297597.5
New Mexico,2015,7907,15271.5,45897.8
New York,2015,67466.9,181667.9,649304.9
North Carolina,2015,38910.3,79425.3,202195.8
North Dakota,2015,4813.7,7914.2,21143.3
Ohio,2015,44469.7,92933.5,297729.3
Oklahoma,2015,15487.9,29614.2,79019.6
Oregon,2015,16868.1,32089.6,102291.3
Pennsylvania,2015,49684,105913.8,358335.7
Rhode Island,2015,3431.5,8913.6,31208.5
South Carolina,2015,17650.4,39975,98682.8
South Dakota,2015,4432.7,6950.6,22570.5
Tennessee,2015,24761.9,51391.1,137882.1
Texas,2015,118660.9,222081,636304.5
Utah,2015,12910.3,21463.4,64467
Vermont,2015,2677.3,6140.4,19002.2
Virginia,2015,34681.1,68840.4,238523
Washington,2015,32512,55102,206688.9
West Virginia,2015,6093.3,14952.6,38351.2
Wisconsin,2015,23730.9,45491.4,148856.2
Wyoming,2015,2402.1,5177.6,15442.7
Alabama,2016,17924.2,38981.6,98441.8
Alaska,2016,3133.8,6248,24303.2
Arizona,2016,27619.4,52261.8,156016
Arkansas,2016,11335.7,22571.4,60213.5
California,2016,165115.4,308896,1193734.2
Colorado,2016,24452.7,45014.4,158286.4
Connecticut,2016,15942.9,35011.8,125961.2
